names,address1,address2,phone,opened,enrollment,grades,status,description,longitude,latitude
Legacy Charter School,460 Lyons Ave.,"Newark, NJ ",973-642-7000,2010,120,K-1,Open,Will expand to grade 8.,-74.2237846,40.7147031
Liberty Academy Charter School,211 Sherman Ave.,"Jersey City, NJ 07307",201-217-6771,1999,400,K-8,Open,Concentrates on engaging every child in learning and by holding students to high standards. Uses Paragon Curriculum.,-74.044857,40.7479107
Maria L. Varisco-Rogers Alternative Charter School,47 Lincoln Park,"Newark, NJ 07101",973-621-8209,1999,96,8-Jun,Open,Individualized Learning Plans developed with students to use their own academic potential and interest levels to open a gateway to education and development.,-74.179405,40.727068
Marion P. Thomas Charter School,370-374 S. 7th St.,"Newark, NJ 07103",973-621-0060,1999,560,K-8,Open,Focus on fundamentals. Prepares students for high school.,-74.1993151,40.7358579
New Horizons Community Charter School,45-59 Hayes St.,"Newark, NJ 07103",973-848-0400,1999,500,K-5,Open,Focus on development of whole child. Emphasis on community.,-74.189455,40.735763
Newark Collegiate Academy - A KIPP School,301 W. Kinney St,"Newark, NJ 07103",973-624-1622,2007,215,11-Sep,Open,,-74.1910903,40.732546
Newark Educators Community Charter School,17-19 Crawford St.,"Newark, NJ 07102",973-732-3848,2009,200,K-4,Open,Will expand to 450 students and grades K-8.,-74.179314,40.728005
North Academy - Clinton Hill Campus Middle School,600 Clinton Ave.,"Newark, NJ 07108",973-484-2221,2005,289,8-May,Open,,-74.2052969,40.7225202
North Star Academy - Vailsburg Campus Elementary School,24 Hazelwood Ave.,"Newark, NJ 07106",973-373-8150,2007,152,K-1,Open,,-74.233118,40.7448859
North Star Academy Downtown Campus,10 Washington Place,"Newark, NJ 07102",973-642-0101,1997,316,12-May,Open,"Rigorous academics with a curriculum based on New Jerseys Core Curriculum Content Standards preparing students to succeed in high school, college and beyond. Strong parent involvement.",-74.1699964,40.7424403
Oceanside Charter School,1750 Bacharach Blvd.,"Atlantic City, NJ 08401",609-348-3485,1999,316,PreK-8,Open,"Focus on merging of technology, science and math coupled with an intensive reading curriculum entitled, Success for All.",-74.434996,39.363577
PACE Charter School of Hamilton,1949 Hamilton Ave.,"Hamilton, NJ 08619",609-587-2288,1999,120,K-3,Open,"Students are active participants and decision-makers in, and held accountable for their education.",-74.71271,40.2256829
Paterson Charter School for Science and Technology,276 Wabash Ave,"Paterson, NJ 07501",973-247-0600,2003,504,11-Jun,Open,Focuses on science and technology both in subject content and method of instruction.,-74.1490521,40.8946374
Paul Robeson Charter School for the Humanities,643 Indiana Ave.,"Trenton, NJ 08638",609-394-7727,2008,180,6-Apr,Open,,-74.7498954,40.2378086
PleasanTech Academy Charter School,"535 Martin Luther King, Jr. Ave.","Pleasantville, NJ 08232",609-383-1717,1998,560,K-8,Open,"Features academic ability grouping in small class sizes, with emphasis on merging technology and humanities. Seeks to develop in students a strong understanding in the core subject areas.",-74.528732,39.3960782
Pride Academy Charter School,117 Elmwood Ave.,"East Orange, NJ 07017",973-991-2410,2008,240,8-May,Open,"PRIDE offers a learning environment emphasizing peace and structure, and is based on a community in which all members exhibit respect.",-74.218934,40.753385
Princeton Charter School,100 Bunn Dr.,"Princeton, NJ 08540",609-924-0574,1997,344,K-8,Open,"Rigorous curricula with well-defined grade-by-grade outcomes in line with state, national and international standards in core subject areas. Integrated formal assessments.",-74.6563018,40.3680719
Queen City Academy Charter School,815 W. 7th St.,"Plainfield, NJ 07062",908-753-4700,2000,242,K-8,Open,"Focus on support, cooperation and collaboration, the whole child and visual and performing arts interwoven within all areas of curriculum.",-74.4056559,40.6249459
Red Bank Charter School,58 Oakland St.,"Red Bank, NJ 07701",732-450-2092,1998,162,K-8,Open,"Seeks to present a solid, comprehensive education in all areas of study with an emphasis on fostering the values of respect, personal responsibility and good citizenship. Seeks to support ethnic and cultural diversity.",-74.071671,40.348341
Renaissance Regional Leadership Charter School,131 E. Main St.,"Wrightstown, NJ 08608",609-723-8216,2010,138,K-8,Open,,-74.6126,40.0366
Ridge and Valley Charter School,1234 Route 94,"Blairstown, NJ 07825",908-362-1114,2004,105,K-8,Open,"Offers Earth Literacy, sustainability, experiential outdoors education and child-centered learning.",-74.935149,40.976832
Rise Academy - A KIPP School,21 Ashland St,"Newark, NJ 07103",973-242-7473,2006,360,8-May,Open,College preparatory program.,-74.2035645,40.7402236
Riverbank Charter School of Excellence,1300 Hornberger Ave.,"Roebling, NJ 08554",609-499-4321,2009,108,K-2,Open,Will expand to K-3 with 144 students for the 2010- 2011 school year,-74.7771955,40.1164106
Robert Treat Academy Charter School,443 Clifton Ave.,"Newark, NJ 07104",973-482-8811,1997,450,K-8,Open,"Commitment to high academic achievement, socially acceptable behavior and a recognition that all individuals are created equal.",-74.1720922,40.7656488
Schomburg Charter School,508 Grand St.,"Jersey City, NJ 07306",201-451-7770,2000,500,K-5,Open,"Seeks to prepare a diverse cross section of Jersey City children for success as students, citizens and workers by providing them with a comprehensive, technology-rich curriculum in a supportive and challenging learning environment.",-74.057543,40.7175481
Soaring Heights Charter School,1 Romar Ave.,"Jersey City, NJ 07305",201-434-4800,1997,200,K-8,Open,"Communications training program integrated into every aspect of school life allowing the school to be a flexible, open and creative environment for all.",-74.1006752,40.6979622
SPARK Academy (A KIPP School),540 Orange St.,"Newark, NJ 07107",973-481-0327,2009,100,K,Open,A KIPP region school,-74.1934937,40.7543148
Sussex County Charter School for Technology,105 N. Church Road,"Sparta, NJ 07871",973-383-6700,1997,200,8-Jun,Open,Academic learning opportunities through the integrated use of available technologies. Includes small class size and a dynamic and integrated curriculum. Special attention on math and science.,-74.6533656,41.0950388
TEAM Academy Charter School - A KIPP School,85 Custer Ave.,"Newark, NJ 07112",973-705-8326,2002,621,8-May,Open,"Seeks to provide students with the knowledge, skills and character traits necessary to prepare them for the nations finest high schools and colleges and to become active citizens.",-74.20295,40.7109
Teaneck Community Charter School,1650 Palisade Ave.,"Teaneck, NJ 07666",201-833-9600,1998,288,K-8,Open,"Works in partnership with community-based organizations to provide mentors, career education and support.",-74.001884,40.90719
The Ethical Community Charter School,95 Broadway,"Jersey City, NJ 07306-6304",201-984-4151,2009,120,K-1,Open,"A safe and caring community where ethics, service, and social justice are the principles that inform every aspect of school life",-74.0722722,40.7361201
Trenton Community Charter School,363 W. State St.,"Trenton, NJ 08618",609-394-0068,1997,626,K-8,Open,"Math, science and technology with a strong family component and linkages to the community.",-74.777782,40.223605
"Union County TEAMS (Technology, Engineering, Architecture, Math and Science) Charter School",515-517 W. Fourth St.,"South Plainfield, NJ 07080",908-754-9043,2005,180,K-8,Open,"Program emphasizes technology, architecture, engineering, math and science.",-74.4258825,40.6121853
Unity Charter School,340 Speedwell Ave.,"Morristown, NJ 07960",973-292-1808,1998,103,K-8,Open,Primary focus is the exploration of the effects of the human endeavor on our ecosystem. Experiential immersion into the local bio-region will accompany intellectual and philosophical inquiry.,-74.483044,40.814763
University Academy Charter High School,275 West Side Ave.,"Jersey City, NJ 07305",201-200-3200,2002,413,12-Sep,Open,Holistic approach to education. Themes of service and experiential learning reflected throughout the curriculum.,-74.0916273,40.7122942
University Heights Charter School,74 Hartford St.,"Newark, NJ 07103",973-623-1099,2006,120,K-5,Open,,-74.1877207,40.7448209
Village Charter School,101 Sullivan Way,"Trenton, NJ 08628",609-695-0110,1999,351,K-7,Open,Mission is to create a child-centered community of active learners where each child can and will succeed in ways that reflect his or her own unique aptitudes and interests.,-74.806157,40.240861
Vineland Public Charter School,1155 E. Landis Ave.,"Vineland, NJ 08360",856-691-1004,2009,108,K-2,Open,School will focus on performing arts and incorporate them into their daily classes. Will feature longer school days and year.,-75.002571,39.483389
Visions Academy Charter High School,88-108 Shipman St.,"Newark, NJ 07102",973-230-0605,2010,150,9,Open,,-74.1799265,40.7328515
Princeton International Academy,,", NJ ",732-513-5891,2011,,K-2,Approved,Dual language immersion program teaching English and Mandarin. International Baccalaureate (IB) curriculum framework.,-74.4056612,40.0583238
The Charter High School for Environmental and Civics Sudies,,"Teaneck, NJ ",,,,,Closed,Financial - Deficit and other financial problems.,-74.0159727,40.8975992
CREATE Charter School,164 Lembeck Ave.,"Jersey City, NJ 07305",,2001,,,Closed,Academic - Poor academic performance.,-74.0941444,40.6959397
Trillium Charter School,,"Flemington, NJ ",,,,,Closed,Never Opened.,-74.8593318,40.5123258
21st Century Public Academy,"3100 Menaul St., NE","Albuquerque, NM 87107",505-254-0280,2000,243,8-May,Open,"Hands-on learning. Students spend 1-2 weeks at different sites in Albuquerque, with follows-up at home site.",-106.6093739,35.1091417
Academia de Lengua y Cultura,1900 Randolphe Road SE,"Albuquerque, NM 87106",505-563-4242,2003,105,8-Jun,Open,Dual language and academically rigorous curriculum infused with Chicano and Mexicano history and culture.,-106.625221,35.053126
Academy for Technology and the Classics (ATC),74 A Van Nu Po Rd,"Santa Fe, NM 87508",505-473-4282,2001,340,12-Jul,Open,"Integrates classical languages, literature, dance, technology and music. Core curriculum. Emphasis on ethics and values.",-106.0070865,35.5856019
Academy of Trades and Technology,1718 Yale Blvd. SE,"Albuquerque, NM 87106",505-765-5517,2005,200,12-Sep,Open,Competency-based learning. Vocational trade school.,-106.6217987,35.0624768
ACE Leadership High School,800B 20th St. NW,"Albuquerque, NM 87104",505-242-4733,2010,350,12-Sep,Open,"Will prepare our students for a successful future in the Construction Professions (Architecture, Construction & Engineering).",-106.6675255,35.1001338
Albuquerque Institute for Math and Science at UNM,933 Bradbury SE,"Albuquerque, NM 87106",505-559-4249,2005,296,12-Jun,Open,"Offers a college preparatory program emphasizing project-based learning, multidisciplinary study, Socratic practice, internships for all students and close linkages to higher education and industry.",-106.6329791,35.0712249
Albuquerque School of Excellence,13201 Lomas Blvd. NE,"Albuquerque, NM 87112",505-312-7711,2010,388,8-Jan,Open,,-106.499152,35.087009
Albuquerque SIATech,"1500 Indian School Rd., NW","Albuquerque, NM 87104",505-242-6640,2004,300,12-Sep,Open,Offers computer based proficiency curriculum partnered with the Albuquerque Job Core Center.,-106.660863,35.109403
Albuquerque Sign Language Academy,620 Lomas Blvd. NW,"Albuquerque, NM 87102",505-244-7553,2010,40,K-4,Open,Sign language school.,-106.653955,35.0911929
Aldo Leopold High School,2810 N. Swan St.,"Silver City, NM 88062",575-538-2547,2005,94,12-Sep,Open,"Learner-centered, Inquiry and Constructivist Approaches. Experiential Learning.",-108.269579,32.7925269
Alma dArte Charter High School,402 W. Court Ave.,"Las Cruces, NM 88005",505-541-0145,2004,165,11-Sep,Open,Core curriculum with an arts focus.,-106.7831035,32.3113566
Amy Biehl Charter High School,123 4th St.,"Albuquerque, NM 87102",505-299-9409,2000,287,12-Sep,Open,"Emphasis on service learning, traditional curriculum. Personal, demonstration-based approach.",-106.6515055,35.085047
Anansi Charter School,57 State Hwy 230,"El Prado, NM 87529",505-776-2256,2001,106,K-2,Open,"Everyday Math, Big Ideas Reading, and integrated science and arts programs. Also studies native culture.",-105.5946666,36.4967177
Anthony Charter School,1301 W. Washington,"Anthony, NM 88021",,2009,111,12-Jul,Open,High school students will attend virtual high school taking classes online provided by IDEAL New Mexico,-106.6219,31.9998847
ASK Academy,4311 Sara Road SE,"Rio Rancho, NM 87124",505-891-0757,2010,150,10-Sep,Open,Project based learning. Pipeline for STEM career fields.,-106.6510644,35.2317628
Bataan Military Academy,8001 Mountain Rd. Place NE,"Albuqueruqe, NM 87102",505-292-5588,2007,118,12-Sep,Open,,-106.557521,35.09228
